,group,names,scores,logfoldchanges,pvals,pvals_adj
148,Acinar,SLC4A4,3.0088608,2.1892753,0.0026222918883236344,0.008577369384447774
149,Acinar,PROX1,2.9937909,3.2965117,0.002755346357957075,0.00896662476643425
150,Acinar,PTPRS,2.8725147,1.6852517,0.0040721910671315045,0.012782232035176859
151,Acinar,ARSE,2.8568294,2.5546076,0.00427895790261562,0.013351993576750511
152,Acinar,EGF,2.8508112,8.023897,0.004360786189741491,0.01357985361156752
153,Acinar,CHRM3,2.8440409,3.7331986,0.004454532623925381,0.013850812377517981
154,Acinar,AQP1,2.8431988,2.2131116,0.00446632169884392,0.013885136180162008
155,Acinar,AMBP,2.8417017,2.98978,0.004487346262131141,0.013943471671131804
156,Acinar,ACADL,2.7716231,6.0593324,0.00557775664360141,0.017025819264907024
157,Acinar,CFTR,2.7544107,2.3659165,0.005879793271628117,0.01786526581481227
158,Acinar,SPX,2.7467635,6.367014,0.006018650874180989,0.018239261786223607
159,Acinar,LGR4,2.7410462,1.6019775,0.00612439118851603,0.01852633339749365
160,Acinar,PBLD,2.7383597,2.1435392,0.006174648639371386,0.01867225855700102
161,Acinar,TPRN,2.7041848,1.589974,0.006847220983375745,0.020488523644193193
162,Acinar,ARHGDIG,2.693717,5.447669,0.007066012337665551,0.021058082179255453
163,Acinar,KIRREL2,2.6489494,5.0283194,0.008074242803102377,0.02374543326823704
164,Acinar,SHC2,2.6345737,1.6208677,0.008424302848664408,0.02469252024393921
165,Acinar,LEFTY1,2.6189253,4.0823975,0.008820725772365368,0.025724803164431067
166,Acinar,PSAT1,2.618104,2.1994402,0.008841987625903203,0.02576986850277017
167,Acinar,WNK2,2.5991468,3.686198,0.00934557899004543,0.02712651040915476
168,Acinar,CFI,2.5868258,1.4021246,0.009686455818027406,0.02801050591003644
169,Acinar,TPD52L1,2.5719156,1.9890704,0.01011375592511052,0.029118743140326756
170,Acinar,CITED4,2.5118372,1.0512642,0.01201044260136383,0.03408905835618427
171,Acinar,SLC16A10,2.5035284,1.2231504,0.012296179199128038,0.03483321421066319
172,Acinar,SFRP5,2.5020406,3.2150857,0.012347973799339364,0.03496923505805258
173,Acinar,IL22RA1,2.4895391,2.398975,0.012790883556483982,0.03607450197803247
175,Acinar,NXN,2.446759,2.042658,0.014414717860259918,0.040237282570110146
176,Acinar,CAMK2N2,2.4363098,4.1666903,0.014837968817764223,0.04126315385580202
177,Acinar,ZNF503,2.4357152,1.405331,0.014862381521751707,0.041318626231494494
178,Acinar,RNF186,2.4145691,3.3959634,0.01575382834600989,0.04357436873406143
179,Acinar,A1CF,2.4057398,3.8486822,0.01613975885123898,0.044541979877703516
