Mixture,Macrophages,CD8_T,Malignant,Neutrophils,Acinar,Monocytes,Cycling_T,NK,B,CD4_T,Dendritic,Mast,Plasma,Treg,Stellate,Vascular,CAF,Endothelial,Endocrine,Ductal,Schwann,P-value,Correlation,RMSE
TCGA-LB-A7SX-01A-11R-A33R-07,0.0180528701819998,0.00443704094882444,0.269826715926332,0.0265182445903966,0,0,0.0425442019244039,0,0.138083757588641,0,0,0.00905528562537716,0.0256321667735492,0,0,0.0370256714129144,0.139327285300124,0.0654666068433645,0.0319424675880251,0.18115074299249,0.0109369423035577,0,0.696879853830479,0.768199290178386
TCGA-IB-A5SS-01A-11R-A32O-07,0.124668941816857,0.0602466059554293,0.187542374603611,0,0,0.00273756370592396,0,0,0.0857247580072762,0,0,0,0,0,0.00843365180883164,0,0.367118045113652,0.0821973818221054,0,0.0813306771663136,0,0,0.63752528845653,0.78685347320238
TCGA-IB-AAUS-01A-12R-A38C-07,0.174903715445465,0.100042814092993,0.0220717927290523,0.0211312311005297,0,0,0,0,0.0824293886823257,0,0,0,0,0,0.00698462366389765,0,0.404062071176387,0.0928652574371409,0,0.0955091056722089,0,0,0.755336514355933,0.682581158956249
TCGA-2J-AABU-01A-11R-A41B-07,0.0533570290437127,0,0.287646798908919,0.004087182946345,0,0,0.051040916257175,0,0.0508242852074447,0,0.00440144310576511,0.00797904914925355,0,0,0.0204241445354917,0.0548163495681855,0.264706727842925,0.0835574009370038,0,0.117158672497779,0,0,0.665316750650089,0.762847017185653
TCGA-HV-AA8V-01A-11R-A41B-07,0.0711091942465031,0.015028110248471,0.0451932781715817,0,0,0,0,0,0.0378869392027895,0,0,0,0,0.0195703168184397,0.0346795441914919,0,0.432345670187224,0.0529787001782931,0,0.291208246755206,0,0,0.694144445689947,0.748390605898709
TCGA-2J-AABE-01A-12R-A41B-07,0.0378871109223846,0.031143160568045,0.205218684779672,0,0,0.0182073505786239,0,0,0.0773080387095301,0,0,0.00781400033436537,0,0.00448540381266582,0.0613283066512065,0,0.325432487805515,0.0581673670541596,0,0.173008088783832,0,0,0.69132806411918,0.739039154282998
TCGA-IB-7890-01A-12R-2204-07,0.0517427535066381,0.0439068874299098,0.0784453082639976,0,0,0,0,0,0.0917560217883847,0,0,0.00291521984899319,0,0.0221988664568097,0.0087590792361619,0,0.418358353094349,0.0948999372860071,0.162959909673841,0.0240576634149087,0,0,0.685188366966235,0.740524349582799
TCGA-IB-7893-01A-11R-2204-07,0.0321332330165442,0.163100814999347,0.0420942982578364,0.00349390555016349,0,0.0200385753223414,0,0,0.0990497237797291,0,0,0,0,0.043440003594846,0,0.0811146592973588,0.399779574278851,0.0534090816556325,0,0.0623461302473507,0,0,0.664164596079448,0.758777914487171
TCGA-US-A774-01A-21R-A32O-07,0.0316989317544462,0.0288560913040931,0,0,0.256167409862034,0.00174040045594922,0,0,0.0943693182477774,0,0.0114317235564473,0.00678187119333217,0,0,0.025066264141364,0,0.25771569216522,0.0409548937963017,0,0.245217403523035,0,0,0.71580246255028,0.725827968593885
TCGA-IB-8127-01A-11R-2404-07,0.0750415668801011,0.0514259300327949,0.163495413553742,0,0.114587431837341,0.00234145719738043,0.00566198542422784,0,0.0171666378444578,0.00803180430505401,0,0.00179200908053478,0,0,0.0188117719116821,0,0.334706679700741,0.0463186411081934,0.0111751731302493,0.1494434979935,0,0,0.747449469845975,0.702051426845552
