"GeneSymbol"	"Steele_PDAC1"	"Steele_PDAC2"	"Steele_PDAC3"	"Steele_PDAC4"	"Steele_PDAC5"	"Steele_PDAC6"	"Steele_PDAC7"	"Steele_PDAC8"	"Steele_PDAC9"	"Steele_PDAC10"	"Steele_PDAC11A"	"Steele_PDAC11B"	"Steele_PDAC12"	"Steele_PDAC13"	"Steele_PDAC15"	"Steele_PDAC16"
"ALS2CL"	"4.110977e+01"	"2.038750e+01"	"2.764382e+01"	"1.439921e+01"	"7.495306e+00"	"4.005692e+01"	"3.805488e+00"	"6.354671e+00"	"3.491412e+00"	"3.699712e+00"	"3.158283e+01"	"1.666106e+01"	"3.726482e+00"	"5.456958e+01"	"2.373535e+01"	"7.218277e+01"
"TMIE"	"1.457793e+00"	"1.014303e-01"	"2.284613e-01"	"5.106104e-01"	"5.353790e-01"	"3.201939e+00"	"3.581636e-01"	"2.178744e-01"	"1.790467e-01"	"6.166186e-01"	"1.599131e+00"	"3.744059e-01"	"7.644066e-01"	"6.239495e-01"	"1.795111e+00"	"2.723878e-01"
"MYL3"	"0.000000e+00"	"1.014303e-01"	"1.523075e-01"	"2.042442e-01"	"1.070758e-01"	"1.960371e-01"	"3.581636e-01"	"3.268116e-01"	"0.000000e+00"	"2.055395e-01"	"0.000000e+00"	"0.000000e+00"	"0.000000e+00"	"0.000000e+00"	"7.978270e-02"	"1.361939e-01"
"PTH1R"	"1.020455e+00"	"1.724316e+00"	"5.330764e-01"	"2.246686e+00"	"3.319350e+00"	"3.267285e-01"	"3.917414e+00"	"3.485991e+00"	"2.685701e-01"	"0.000000e+00"	"3.997827e-01"	"9.360148e-01"	"0.000000e+00"	"2.859768e-01"	"5.983702e-01"	"5.447757e-01"
"CCDC12"	"1.065647e+02"	"5.254091e+01"	"1.532214e+02"	"8.884621e+01"	"8.758800e+01"	"7.717328e+01"	"8.631743e+01"	"8.998214e+01"	"8.092913e+01"	"1.019476e+02"	"1.155372e+02"	"1.098881e+02"	"6.736333e+01"	"4.872005e+01"	"1.106187e+02"	"1.581211e+02"
"NBEAL2"	"8.338577e+01"	"2.373470e+01"	"1.139260e+02"	"5.146953e+01"	"5.332375e+01"	"4.071037e+01"	"2.066156e+01"	"2.530975e+01"	"1.967724e+02"	"7.543301e+01"	"8.155567e+01"	"1.377814e+02"	"4.022690e+01"	"1.622269e+01"	"5.684517e+01"	"1.413693e+02"
"SETD2"	"7.624258e+01"	"6.603114e+01"	"9.435452e+01"	"9.170562e+01"	"4.914779e+01"	"6.188238e+01"	"9.117502e+01"	"6.209421e+01"	"7.278250e+01"	"2.314375e+02"	"8.955132e+01"	"9.603512e+01"	"5.694829e+01"	"3.491517e+01"	"6.502290e+01"	"5.679286e+01"
"KIF9"	"1.559839e+01"	"1.176592e+01"	"4.919534e+01"	"2.216049e+01"	"1.102881e+01"	"1.313449e+01"	"1.172986e+01"	"1.100266e+01"	"3.759982e+00"	"1.089360e+01"	"5.157197e+01"	"2.882926e+01"	"7.070761e+00"	"2.885766e+01"	"2.572992e+01"	"1.018730e+02"
"KLHL18"	"3.425814e+01"	"1.460597e+01"	"2.688228e+01"	"3.278119e+01"	"3.105198e+01"	"1.679385e+01"	"2.522815e+01"	"2.284050e+01"	"2.542464e+01"	"3.021431e+01"	"2.838457e+01"	"3.912542e+01"	"2.598983e+01"	"1.554674e+01"	"3.195297e+01"	"1.620708e+01"
"PTPN23"	"3.600749e+01"	"1.927176e+01"	"3.175612e+01"	"2.879843e+01"	"2.141516e+01"	"1.979975e+01"	"1.920652e+01"	"2.367569e+01"	"1.342851e+01"	"1.993734e+01"	"3.038348e+01"	"2.920366e+01"	"2.656313e+01"	"2.607589e+01"	"3.035732e+01"	"4.371825e+01"
